Date;Urals;Exchange;day;Base;Urals_b
12.01.2015;45.05;56.2584;1;0;
13.01.2015;43.28;62.7363;2;0;
14.01.2015;43.97;64.8425;3;0;
15.01.2015;45.81;66.0983;4;0;
16.01.2015;46.03;64.8337;5;0;
19.01.2015;45.38;64.8337;6;0;
20.01.2015;45.19;64.9732;7;0;
21.01.2015;45.2;64.9862;8;0;
22.01.2015;44.79;65.5558;9;0;
23.01.2015;45.39;65.4;10;0;
26.01.2015;45.22;65.4;11;0;
27.01.2015;45.95;65.5937;12;0;
28.01.2015;46.47;67.8153;13;0;
29.01.2015;46.21;67.1506;14;0;
30.01.2015;47.62;68.7303;15;0;
02.02.2015;51.84;68.7303;16;0;
03.02.2015;54.51;69.664;17;0;
04.02.2015;55.17;67.7727;18;0;
05.02.2015;56.08;65.447;19;0;
06.02.2015;55.73;68.6113;20;0;
09.02.2015;56.85;68.6113;21;0;
10.02.2015;55.64;65.7817;22;0;
11.02.2015;53.33;65.4469;23;0;
12.02.2015;56.08;66.0585;24;0;
13.02.2015;60.18;66.0994;25;0;
16.02.2015;61.42;66.0994;26;0;
17.02.2015;60.63;62.6632;27;0;
18.02.2015;60.57;62.8353;28;0;
19.02.2015;58.63;62.4001;29;0;
20.02.2015;60.84;62.1307;30;0;
23.02.2015;59.63;62.1307;31;0;
24.02.2015;60.18;62.1307;32;0;
25.02.2015;58.92;63.5083;33;0;
26.02.2015;60.54;62.5906;34;0;
27.02.2015;60.49;60.7109;35;0;
02.03.2015;59.35;60.7109;36;0;
03.03.2015;59.78;62.2248;37;0;
04.03.2015;57.83;62.3649;38;0;
05.03.2015;58.98;61.8745;39;0;
06.03.2015;57.8;61.8457;40;0;
09.03.2015;57.32;61.8457;41;0;
10.03.2015;54.6;61.8457;42;0;
11.03.2015;55.51;60.6649;43;0;
12.03.2015;55.66;62.6797;44;0;
13.03.2015;53.8;60.9595;45;0;
16.03.2015;51;60.9595;46;0;
17.03.2015;51.17;62.1497;47;0;
18.03.2015;51.59;61.751;48;0;
19.03.2015;51.51;61.3483;49;0;
20.03.2015;52.43;59.8308;50;0;
23.03.2015;52.37;59.8308;51;0;
24.03.2015;52.36;59.4452;52;0;
25.03.2015;52.93;58.771;53;0;
26.03.2015;55.77;57.3879;54;0;
27.03.2015;55.19;56.4271;55;0;
30.03.2015;52.74;56.4271;56;0;
31.03.2015;52.44;58.4643;57;0;
01.04.2015;54.98;57.65;58;0;
02.04.2015;53.36;58.3536;59;0;
07.04.2015;57.05;56.5161;60;0;
08.04.2015;55.92;55.3328;61;0;
09.04.2015;55.54;54.027;62;0;
10.04.2015;56.32;52.5424;63;0;
13.04.2015;56.14;52.5424;64;0;
14.04.2015;56.69;52.422;65;0;
15.04.2015;58.32;51.9749;66;0;
16.04.2015;59.63;50.5033;67;0;
17.04.2015;61.31;49.6749;68;0;
20.04.2015;60.8;49.6749;69;0;
21.04.2015;59.15;51.5207;70;0;
22.04.2015;59.97;53.9728;71;0;
23.04.2015;62.51;53.6555;72;0;
24.04.2015;62.81;51.6011;73;0;
27.04.2015;62.71;51.6011;74;0;
28.04.2015;62.46;51.469;75;0;
29.04.2015;63.82;52.3041;76;0;
