Date;;year;month;Urals;Exchange;day;Base;interv_fact;neftegas;urals_b;urals_b2
12.01.2015;20151;2015;1;45.05;56.2584;1;0;0;0;45.05;45.05
13.01.2015;20151;2015;1;43.28;62.7363;2;0;0;0;43.28;43.28
14.01.2015;20151;2015;1;43.97;64.8425;3;0;0;0;43.97;43.97
15.01.2015;20151;2015;1;45.81;66.0983;4;0;0;0;45.81;45.81
16.01.2015;20151;2015;1;46.03;64.8337;5;0;0;0;46.03;46.03
19.01.2015;20151;2015;1;45.38;64.8337;6;0;0;0;45.38;45.38
20.01.2015;20151;2015;1;45.19;64.9732;7;0;0;0;45.19;45.19
21.01.2015;20151;2015;1;45.2;64.9862;8;0;0;0;45.2;45.2
22.01.2015;20151;2015;1;44.79;65.5558;9;0;0;0;44.79;44.79
23.01.2015;20151;2015;1;45.39;65.4;10;0;0;0;45.39;45.39
26.01.2015;20151;2015;1;45.22;65.4;11;0;0;0;45.22;45.22
27.01.2015;20151;2015;1;45.95;65.5937;12;0;0;0;45.95;45.95
28.01.2015;20151;2015;1;46.47;67.8153;13;0;0;0;46.47;46.47
29.01.2015;20151;2015;1;46.21;67.1506;14;0;0;0;46.21;46.21
30.01.2015;20151;2015;1;47.62;68.7303;15;0;0;0;47.62;47.62
02.02.2015;20152;2015;2;51.84;68.7303;16;0;0;0;51.84;51.84
03.02.2015;20152;2015;2;54.51;69.664;17;0;0;0;54.51;54.51
04.02.2015;20152;2015;2;55.17;67.7727;18;0;0;0;55.17;55.17
05.02.2015;20152;2015;2;56.08;65.447;19;0;0;0;56.08;56.08
06.02.2015;20152;2015;2;55.73;68.6113;20;0;0;0;55.73;55.73
09.02.2015;20152;2015;2;56.85;68.6113;21;0;0;0;56.85;56.85
10.02.2015;20152;2015;2;55.64;65.7817;22;0;0;0;55.64;55.64
11.02.2015;20152;2015;2;53.33;65.4469;23;0;0;0;53.33;53.33
12.02.2015;20152;2015;2;56.08;66.0585;24;0;0;0;56.08;56.08
13.02.2015;20152;2015;2;60.18;66.0994;25;0;0;0;60.18;60.18
16.02.2015;20152;2015;2;61.42;66.0994;26;0;0;0;61.42;61.42
17.02.2015;20152;2015;2;60.63;62.6632;27;0;0;0;60.63;60.63
18.02.2015;20152;2015;2;60.57;62.8353;28;0;0;0;60.57;60.57
19.02.2015;20152;2015;2;58.63;62.4001;29;0;0;0;58.63;58.63
20.02.2015;20152;2015;2;60.84;62.1307;30;0;0;0;60.84;60.84
23.02.2015;20152;2015;2;59.63;62.1307;31;0;0;0;59.63;59.63
24.02.2015;20152;2015;2;60.18;62.1307;32;0;0;0;60.18;60.18
25.02.2015;20152;2015;2;58.92;63.5083;33;0;0;0;58.92;58.92
26.02.2015;20152;2015;2;60.54;62.5906;34;0;0;0;60.54;60.54
27.02.2015;20152;2015;2;60.49;60.7109;35;0;0;0;60.49;60.49
02.03.2015;20153;2015;3;59.35;60.7109;36;0;0;0;59.35;59.35
03.03.2015;20153;2015;3;59.78;62.2248;37;0;0;0;59.78;59.78
04.03.2015;20153;2015;3;57.83;62.3649;38;0;0;0;57.83;57.83
05.03.2015;20153;2015;3;58.98;61.8745;39;0;0;0;58.98;58.98
06.03.2015;20153;2015;3;57.8;61.8457;40;0;0;0;57.8;57.8
09.03.2015;20153;2015;3;57.32;61.8457;41;0;0;0;57.32;57.32
10.03.2015;20153;2015;3;54.6;61.8457;42;0;0;0;54.6;54.6
11.03.2015;20153;2015;3;55.51;60.6649;43;0;0;0;55.51;55.51
12.03.2015;20153;2015;3;55.66;62.6797;44;0;0;0;55.66;55.66
13.03.2015;20153;2015;3;53.8;60.9595;45;0;0;0;53.8;53.8
16.03.2015;20153;2015;3;51;60.9595;46;0;0;0;51;51
17.03.2015;20153;2015;3;51.17;62.1497;47;0;0;0;51.17;51.17
18.03.2015;20153;2015;3;51.59;61.751;48;0;0;0;51.59;51.59
19.03.2015;20153;2015;3;51.51;61.3483;49;0;0;0;51.51;51.51
20.03.2015;20153;2015;3;52.43;59.8308;50;0;0;0;52.43;52.43
23.03.2015;20153;2015;3;52.37;59.8308;51;0;0;0;52.37;52.37
24.03.2015;20153;2015;3;52.36;59.4452;52;0;0;0;52.36;52.36
25.03.2015;20153;2015;3;52.93;58.771;53;0;0;0;52.93;52.93
26.03.2015;20153;2015;3;55.77;57.3879;54;0;0;0;55.77;55.77
27.03.2015;20153;2015;3;55.19;56.4271;55;0;0;0;55.19;55.19
30.03.2015;20153;2015;3;52.74;56.4271;56;0;0;0;52.74;52.74
31.03.2015;20153;2015;3;52.44;58.4643;57;0;0;0;52.44;52.44
01.04.2015;20154;2015;4;54.98;57.65;58;0;0;0;54.98;54.98
02.04.2015;20154;2015;4;53.36;58.3536;59;0;0;0;53.36;53.36
07.04.2015;20154;2015;4;57.05;56.5161;60;0;0;0;57.05;57.05
08.04.2015;20154;2015;4;55.92;55.3328;61;0;0;0;55.92;55.92
09.04.2015;20154;2015;4;55.54;54.027;62;0;0;0;55.54;55.54
10.04.2015;20154;2015;4;56.32;52.5424;63;0;0;0;56.32;56.32
13.04.2015;20154;2015;4;56.14;52.5424;64;0;0;0;56.14;56.14
14.04.2015;20154;2015;4;56.69;52.422;65;0;0;0;56.69;56.69
15.04.2015;20154;2015;4;58.32;51.9749;66;0;0;0;58.32;58.32
16.04.2015;20154;2015;4;59.63;50.5033;67;0;0;0;59.63;59.63
17.04.2015;20154;2015;4;61.31;49.6749;68;0;0;0;61.31;61.31
20.04.2015;20154;2015;4;60.8;49.6749;69;0;0;0;60.8;60.8
21.04.2015;20154;2015;4;59.15;51.5207;70;0;0;0;59.15;59.15
22.04.2015;20154;2015;4;59.97;53.9728;71;0;0;0;59.97;59.97
23.04.2015;20154;2015;4;62.51;53.6555;72;0;0;0;62.51;62.51
24.04.2015;20154;2015;4;62.81;51.6011;73;0;0;0;62.81;62.81
27.04.2015;20154;2015;4;62.71;51.6011;74;0;0;0;62.71;62.71
28.04.2015;20154;2015;4;62.46;51.469;75;0;0;0;62.46;62.46
29.04.2015;20154;2015;4;63.82;52.3041;76;0;0;0;63.82;63.82
30.04.2015;20154;2015;4;63.1;51.7029;77;0;0;0;63.1;63.1
01.05.2015;20155;2015;5;63.33;51.1388;78;0;0;0;63.33;63.33
05.05.2015;20155;2015;5;64.64;51.1388;79;0;0;0;64.64;64.64
06.05.2015;20155;2015;5;64.97;51.7574;80;0;0;0;64.97;64.97
07.05.2015;20155;2015;5;63.93;49.9816;81;0;0;0;63.93;63.93
08.05.2015;20155;2015;5;62.97;50.3615;82;0;0;0;62.97;62.97
11.05.2015;20155;2015;5;62.27;50.3615;83;0;0;0;62.27;62.27
12.05.2015;20155;2015;5;64.54;50.3615;84;0;0;0;64.54;64.54
13.05.2015;20155;2015;5;65.88;50.914;85;0;0;0;65.88;65.88
14.05.2015;20155;2015;5;65.13;49.5366;86;0;0;0;65.13;65.13
15.05.2015;20155;2015;5;64.24;50.0774;87;0;0;0;64.24;64.24
18.05.2015;20155;2015;5;64.7;50.0774;88;0;0;0;64.7;64.7
19.05.2015;20155;2015;5;63.03;49.2175;89;0;0;0;63.03;63.03
20.05.2015;20155;2015;5;63.07;49.1777;90;0;0;0;63.07;63.07
21.05.2015;20155;2015;5;64.25;49.7919;91;0;0;0;64.25;64.25
22.05.2015;20155;2015;5;64.07;49.9204;92;0;0;0;64.07;64.07
26.05.2015;20155;2015;5;60.85;49.8613;93;0;0;0;60.85;60.85
27.05.2015;20155;2015;5;60.55;50.3223;94;0;0;0;60.55;60.55
28.05.2015;20155;2015;5;59.32;51.0178;95;0;0;0;59.32;59.32
29.05.2015;20155;2015;5;62.36;52.2907;96;0;0;0;62.36;62.36
01.06.2015;20156;2015;6;62.57;52.2907;97;0;0;0;62.57;62.57
02.06.2015;20156;2015;6;63.14;52.8213;98;0;0;0;63.14;63.14
03.06.2015;20156;2015;6;62.88;53.4413;99;0;0;0;62.88;62.88
04.06.2015;20156;2015;6;60.44;53.059;100;0;0;0;60.44;60.44
05.06.2015;20156;2015;6;60.16;54.9908;101;0;0;0;60.16;60.16
08.06.2015;20156;2015;6;61.13;54.9908;102;0;0;0;61.13;61.13
09.06.2015;20156;2015;6;63.18;56.0435;103;0;0;0;63.18;63.18
10.06.2015;20156;2015;6;64.63;55.91;104;0;0;0;64.63;64.63
11.06.2015;20156;2015;6;63.71;54.8219;105;0;0;0;63.71;63.71
12.06.2015;20156;2015;6;63.14;54.5285;106;0;0;0;63.14;63.14
